time=2026-07-01T02:19:17.069+05:00 level=INFO msg="memorizr worker starting"
time=2026-07-01T02:19:17.083+05:00 level=INFO msg="database pool established" min_conns=0 max_conns=50 idle_conns=1
time=2026-07-01T02:19:17.083+05:00 level=INFO msg="worker pool starting" poll_interval=5s batch_size=200 process_timeout=3m0s
time=2026-07-01T02:19:17.096+05:00 level=INFO msg=--------------------------------------------------
time=2026-07-01T02:19:17.096+05:00 level=INFO msg="📦 NEW BATCH STARTED" count=200 db_search_duration=12.587192ms
time=2026-07-01T02:19:17.130+05:00 level=INFO msg="🚀 reminder delivered" id=a1d360c8-1216-497f-8bf3-5cf09501f09b dispatch_duration=20.397474ms db_update_duration=13.568046ms total_item_duration=33.968014ms
time=2026-07-01T02:19:17.138+05:00 level=INFO msg="🚀 reminder delivered" id=9a98888f-01ed-4d5b-beb6-178001bf0a39 dispatch_duration=32.050782ms db_update_duration=9.089806ms total_item_duration=41.141318ms
time=2026-07-01T02:19:17.146+05:00 level=INFO msg="🚀 reminder delivered" id=c8e015cf-cce2-41b8-bb14-364941ff086e dispatch_duration=32.340903ms db_update_duration=17.878358ms total_item_duration=50.220209ms
time=2026-07-01T02:19:17.156+05:00 level=INFO msg="🚀 reminder delivered" id=cb1be9e1-f791-4d89-8562-e07560f1d16c dispatch_duration=32.295576ms db_update_duration=27.232683ms total_item_duration=59.528904ms
time=2026-07-01T02:19:17.163+05:00 level=INFO msg="🚀 reminder delivered" id=57b7e8ad-81a3-4d88-b8aa-0a9abdfe3653 dispatch_duration=20.730785ms db_update_duration=46.051661ms total_item_duration=66.783572ms
time=2026-07-01T02:19:17.166+05:00 level=INFO msg="🚀 reminder delivered" id=992798d3-6e5f-4f4f-8e7d-ad1682d9de1c dispatch_duration=32.322558ms db_update_duration=37.749255ms total_item_duration=70.072271ms
time=2026-07-01T02:19:17.169+05:00 level=INFO msg="🚀 reminder delivered" id=8c3fdf86-ca1e-4abc-a323-67a650ec9683 dispatch_duration=21.823867ms db_update_duration=51.553244ms total_item_duration=73.378595ms
time=2026-07-01T02:19:17.169+05:00 level=INFO msg="🚀 reminder delivered" id=7391068a-b70d-48ca-8ae9-1a762bbe3b82 dispatch_duration=20.586163ms db_update_duration=52.578032ms total_item_duration=73.165922ms
time=2026-07-01T02:19:17.169+05:00 level=INFO msg="🚀 reminder delivered" id=ddd6427a-0712-4dda-9364-4a8a4e2f3ccf dispatch_duration=26.066411ms db_update_duration=47.254754ms total_item_duration=73.322453ms
time=2026-07-01T02:19:17.169+05:00 level=INFO msg="🚀 reminder delivered" id=265b4158-2b8b-436e-9961-55fa4fee0a6d dispatch_duration=25.117134ms db_update_duration=48.463473ms total_item_duration=73.581919ms
time=2026-07-01T02:19:17.172+05:00 level=INFO msg="🚀 reminder delivered" id=1d2041ef-2a57-491e-a49f-ee2cb5d1b4be dispatch_duration=32.344767ms db_update_duration=43.455049ms total_item_duration=75.800197ms
time=2026-07-01T02:19:17.175+05:00 level=INFO msg="🚀 reminder delivered" id=f5600773-b0f5-43b5-a336-8aec65bfe6ac dispatch_duration=26.012844ms db_update_duration=52.860013ms total_item_duration=78.874012ms
time=2026-07-01T02:19:17.175+05:00 level=INFO msg="🚀 reminder delivered" id=f7ed3cf8-a016-4aa2-8cd5-26c544233b86 dispatch_duration=30.011485ms db_update_duration=48.958359ms total_item_duration=78.971162ms
time=2026-07-01T02:19:17.175+05:00 level=INFO msg="🚀 reminder delivered" id=5a209965-f6ed-40e8-a9aa-ffafed842616 dispatch_duration=25.516841ms db_update_duration=53.876063ms total_item_duration=79.393984ms
time=2026-07-01T02:19:17.175+05:00 level=INFO msg="🚀 reminder delivered" id=b53866a8-8cbf-4a9d-8548-88c29564f4c4 dispatch_duration=24.354049ms db_update_duration=55.222865ms total_item_duration=79.57839ms
time=2026-07-01T02:19:17.175+05:00 level=INFO msg="🚀 reminder delivered" id=b1943e6c-5751-49db-ae37-e2dc0df8c32e dispatch_duration=21.828388ms db_update_duration=57.88205ms total_item_duration=79.711652ms
time=2026-07-01T02:19:17.176+05:00 level=INFO msg="🚀 reminder delivered" id=9eac6072-c715-4786-94d6-c80d319b0089 dispatch_duration=22.306798ms db_update_duration=57.331078ms total_item_duration=79.639222ms
time=2026-07-01T02:19:17.177+05:00 level=INFO msg="🚀 reminder delivered" id=1a9b509f-2b78-4045-ae6e-b7382649eba6 dispatch_duration=32.46779ms db_update_duration=47.972675ms total_item_duration=80.441012ms
time=2026-07-01T02:19:17.178+05:00 level=INFO msg="🚀 reminder delivered" id=afb5dcf5-c370-4c48-83d0-052329387cf8 dispatch_duration=28.477327ms db_update_duration=53.707161ms total_item_duration=82.185715ms
time=2026-07-01T02:19:17.180+05:00 level=INFO msg="🚀 reminder delivered" id=1e2a727a-98bc-4d78-b1a8-29b2fe88ef5e dispatch_duration=29.542058ms db_update_duration=54.162133ms total_item_duration=83.70535ms
time=2026-07-01T02:19:17.180+05:00 level=INFO msg="🚀 reminder delivered" id=d0a6aa2e-9547-4476-bbf6-2b42d715c23a dispatch_duration=32.369355ms db_update_duration=51.137254ms total_item_duration=83.507541ms
time=2026-07-01T02:19:17.180+05:00 level=INFO msg="🚀 reminder delivered" id=96aacea1-e276-4327-81e9-4db874494ad4 dispatch_duration=32.743739ms db_update_duration=50.997931ms total_item_duration=83.742719ms
time=2026-07-01T02:19:17.180+05:00 level=INFO msg="🚀 reminder delivered" id=d1f59a88-4ae7-4412-851b-2c02f9927d7f dispatch_duration=33.148228ms db_update_duration=51.023042ms total_item_duration=84.171963ms
time=2026-07-01T02:19:17.180+05:00 level=INFO msg="🚀 reminder delivered" id=b74cd5cd-9875-4f22-9c24-d9cdf5bf3e7a dispatch_duration=32.416765ms db_update_duration=51.288917ms total_item_duration=83.706566ms
time=2026-07-01T02:19:17.180+05:00 level=INFO msg="🚀 reminder delivered" id=89ef845c-4d9d-4d1f-87da-b01a71c1dde4 dispatch_duration=30.590227ms db_update_duration=53.268834ms total_item_duration=83.86031ms
time=2026-07-01T02:19:17.180+05:00 level=INFO msg="🚀 reminder delivered" id=182cd9f2-f88b-4448-9d1d-f89747f0d45f dispatch_duration=33.154287ms db_update_duration=51.166784ms total_item_duration=84.321918ms
time=2026-07-01T02:19:17.184+05:00 level=INFO msg="🚀 reminder delivered" id=561475e8-b2a0-4e37-9710-898e813ba6d9 dispatch_duration=33.187739ms db_update_duration=55.288703ms total_item_duration=88.476979ms
time=2026-07-01T02:19:17.188+05:00 level=INFO msg="🚀 reminder delivered" id=4f862a9b-425c-49ea-838c-1722e9c169b0 dispatch_duration=33.246539ms db_update_duration=58.884263ms total_item_duration=92.131198ms
time=2026-07-01T02:19:17.188+05:00 level=INFO msg="🚀 reminder delivered" id=de0e737c-36f1-4e48-a360-3218fae173df dispatch_duration=27.446654ms db_update_duration=65.12063ms total_item_duration=92.568557ms
time=2026-07-01T02:19:17.191+05:00 level=INFO msg="🚀 reminder delivered" id=00622522-48ce-486a-a0d6-4758c2743e39 dispatch_duration=33.247226ms db_update_duration=61.292344ms total_item_duration=94.540225ms
time=2026-07-01T02:19:17.191+05:00 level=INFO msg="🚀 reminder delivered" id=2b33eb83-bd33-4ef1-987f-1bf26657bcbd dispatch_duration=33.316688ms db_update_duration=61.360762ms total_item_duration=94.678089ms
time=2026-07-01T02:19:17.191+05:00 level=INFO msg="🚀 reminder delivered" id=c4e270e6-e8f4-4bfa-8fa6-a052b1881521 dispatch_duration=33.15218ms db_update_duration=61.644009ms total_item_duration=94.796825ms
time=2026-07-01T02:19:17.191+05:00 level=INFO msg="🚀 reminder delivered" id=c1cee11b-99a1-40fd-9575-35d3c28d7f08 dispatch_duration=33.214946ms db_update_duration=61.894875ms total_item_duration=95.110265ms
time=2026-07-01T02:19:17.191+05:00 level=INFO msg="🚀 reminder delivered" id=56b5924e-4503-4b35-bf5c-c9dbf7a0372d dispatch_duration=33.211287ms db_update_duration=62.033239ms total_item_duration=95.245189ms
time=2026-07-01T02:19:17.191+05:00 level=INFO msg="🚀 reminder delivered" id=ef0f0396-20a3-43aa-9f69-43be280f3d57 dispatch_duration=25.337557ms db_update_duration=70.184016ms total_item_duration=95.522829ms
time=2026-07-01T02:19:17.192+05:00 level=INFO msg="🚀 reminder delivered" id=b40629d2-e278-4629-a79d-3203a86b46b3 dispatch_duration=33.274205ms db_update_duration=62.011099ms total_item_duration=95.285838ms
time=2026-07-01T02:19:17.192+05:00 level=INFO msg="🚀 reminder delivered" id=284f2003-30ed-45d1-bdbf-9f29ad7d4bb4 dispatch_duration=33.334975ms db_update_duration=62.199525ms total_item_duration=95.535154ms
